position	n_covered	pct_A	pct_C	pct_G	pct_T	pct_ambiguous	pct_gap	pct_identity	entropy_bits	entropy_std
30	16238	0.4804	16.9233	0.1663	28.6673	0.3141	53.4487	62.0005	1.0560	0.5362
31	16410	0.1950	0.4997	97.4650	0.0366	0.1463	1.6575	99.2553	0.0715	0.0363
32	16557	99.1424	0.1631	0.1570	0.0785	0.0664	0.3926	99.5995	0.0437	0.0222
33	16696	96.1847	0.1318	0.2456	2.3179	0.0839	1.0362	97.2742	0.1999	0.1015
34	16878	0.0948	98.8565	0.2666	0.2785	0.0711	0.4325	99.3569	0.0654	0.0332
35	17025	0.2115	0.1703	96.6579	0.2467	0.1527	2.5609	99.3540	0.0664	0.0337
36	17208	0.4010	97.5535	0.2034	1.1274	0.0697	0.6450	98.2558	0.1487	0.0755
37	17376	0.3223	0.3223	0.2244	98.5900	0.1036	0.4374	99.1263	0.0860	0.0437
38	17601	14.0787	0.1420	85.0406	0.4488	0.1477	0.1420	85.2877	0.6431	0.3265
39	17706	0.5761	2.2987	95.5891	0.5422	0.1130	0.8811	96.5488	0.2593	0.1317
40	17789	0.2024	98.5834	0.1799	0.5565	0.0506	0.4272	99.0567	0.0900	0.0457
41	17893	0.6707	0.0782	97.2950	1.5928	0.0559	0.3074	97.6498	0.1856	0.0942
42	17964	1.5308	0.0724	97.4004	0.2060	0.0891	0.7014	98.1764	0.1450	0.0736
43	18032	0.9372	91.8035	1.9521	2.5621	0.0444	2.7008	94.3947	0.3945	0.2003
44	18084	53.2460	0.1161	1.3714	0.5917	0.0553	44.6196	96.2419	0.2741	0.1392
45	18264	0.1807	0.5640	83.8863	15.0077	0.0876	0.2738	84.1906	0.6791	0.3448
46	18375	0.3265	0.0653	98.0463	0.2776	0.0490	1.2354	99.3219	0.0678	0.0344
47	18443	1.0519	96.4973	0.1789	1.6537	0.0596	0.5585	97.0975	0.2255	0.1145
48	18574	0.2423	52.0028	0.2261	45.0253	0.1077	2.3958	53.3381	1.0402	0.5281
49	18667	0.0375	0.0482	0.2893	97.7983	0.0429	1.7839	99.6180	0.0400	0.0203
50	18787	91.8933	0.4737	0.6707	6.5684	0.0692	0.3247	92.2567	0.4512	0.2291
51	18893	93.8390	0.3652	0.8733	2.1437	0.0900	2.6888	96.5211	0.2620	0.1330
52	18973	0.1212	76.5931	2.1979	19.4487	0.1107	1.5285	77.8695	0.8778	0.4457
53	19043	94.9483	0.1733	2.0322	0.5829	0.0893	2.1740	97.1470	0.2170	0.1102
54	19215	0.0364	98.1265	0.4215	0.3487	0.0677	0.9992	99.1846	0.0782	0.0397
55	19337	98.3451	0.1810	0.2224	0.1396	0.0672	1.0446	99.4509	0.0577	0.0293
56	19680	0.0965	0.5030	0.4065	98.6484	0.0457	0.2998	98.9904	0.0951	0.0483
57	19803	0.1111	0.1414	98.9295	0.1515	0.1111	0.5555	99.5933	0.0446	0.0226
58	19877	0.0704	97.9776	1.4137	0.1761	0.0604	0.3019	98.3338	0.1345	0.0683
59	19929	97.0646	0.3262	1.1140	1.2896	0.1104	0.0953	97.2647	0.2194	0.1114
60	20039	93.2082	0.1497	1.0430	0.6587	0.0898	4.8505	98.0524	0.1636	0.0831
61	20164	0.1289	0.1587	98.5172	0.5554	0.0793	0.5604	99.1515	0.0813	0.0413
62	20225	0.1088	0.9839	0.5686	97.3449	0.0643	0.9295	98.3220	0.1437	0.0729
63	20280	0.6607	97.2387	0.9270	0.7150	0.0592	0.3994	97.6866	0.1950	0.0990
64	20329	0.1328	0.0738	98.4505	0.6100	0.0738	0.6592	99.1774	0.0775	0.0393
65	20365	91.8586	1.7235	3.3489	2.0329	0.1080	0.9281	92.8203	0.4820	0.2447
66	20421	50.7909	0.1469	40.4437	1.8363	0.1518	6.6304	54.4862	1.1263	0.5718
67	20518	0.1511	85.7296	7.2473	1.4036	0.0536	5.4148	90.6888	0.5170	0.2625
68	20626	0.4121	0.3006	96.6305	0.7854	0.0533	1.8181	98.4733	0.1363	0.0692
69	20712	10.1825	6.7980	65.4693	0.4056	0.0772	17.0674	79.0164	0.9737	0.4944
70	20824	2.7660	13.5949	5.7146	45.1498	0.0624	32.7123	67.1619	1.3437	0.6823
71	20899	67.9171	2.8231	9.0674	3.0576	0.0813	17.0534	81.9610	0.9262	0.4703
72	20970	48.5551	1.8073	15.1264	7.0672	0.1574	27.2866	66.9208	1.3193	0.6699
73	21078	0.1044	59.4269	1.9879	5.5413	0.1044	32.8352	88.6169	0.6167	0.3131
74	21168	50.8834	3.4580	3.9210	6.9539	0.1606	34.6230	78.0225	1.0922	0.5546
75	21244	1.2286	5.4510	75.5366	12.0316	0.1600	5.5922	80.1468	0.9544	0.4846
76	21304	1.4504	9.3316	51.9011	7.2381	0.2018	29.8770	74.2280	1.1616	0.5898
77	21373	50.6995	15.9594	4.8987	9.4933	0.2199	18.7292	62.5527	1.4921	0.7576
78	21436	34.3254	11.7279	6.0132	10.5757	0.2006	37.1571	54.7959	1.6859	0.8560
79	21505	0.2465	7.0402	63.6643	5.4220	0.1163	23.5108	83.3597	0.8336	0.4232
80	21543	42.7981	8.8381	5.0689	14.9515	0.1810	28.1623	59.7266	1.5585	0.7913
81	21607	34.3592	3.4850	1.5828	4.8179	0.2129	55.5422	77.6569	1.0923	0.5546
82	21656	0.5772	2.5397	59.1060	2.1703	0.1385	35.4682	91.7892	0.5232	0.2657
83	21704	1.5343	84.4360	0.9768	1.6955	0.1152	11.2422	95.2544	0.3490	0.1772
84	21734	4.8910	1.8910	3.5014	76.1296	0.1012	13.4858	88.0997	0.7036	0.3573
85	21783	5.6833	4.0582	1.1247	68.1816	0.1377	20.8144	86.2536	0.7643	0.3881
86	21822	2.4700	2.1630	59.6187	2.1950	0.1696	33.3837	89.7241	0.6403	0.3251
87	21849	1.6889	82.7910	6.8607	0.4440	0.1053	8.1102	90.2015	0.5572	0.2829
88	21878	11.0019	1.2844	17.1177	64.0415	0.1691	6.3854	68.5336	1.2705	0.6451
89	21904	10.3451	11.9111	17.5082	40.5542	0.2374	19.4439	50.4917	1.7660	0.8967
90	21955	3.3295	70.5807	15.4452	0.5329	0.1913	9.9203	78.5204	0.9305	0.4725
91	21985	9.0016	8.7150	32.9361	41.9104	0.2092	7.2277	45.2776	1.6960	0.8611
92	22018	7.3803	7.9753	33.0366	37.5238	0.2135	13.8705	43.6750	1.6747	0.8503
93	22050	10.3356	5.2562	18.4490	29.0340	0.1769	36.7483	46.0311	1.7603	0.8938
94	22092	5.0833	1.0999	79.0331	0.6382	0.1177	14.0277	92.0546	0.4845	0.2460
95	22110	13.7630	39.9141	11.7413	2.7318	0.1673	31.6825	58.5678	1.5413	0.7826
96	22140	5.9801	3.0985	7.0822	63.1933	0.1265	20.5194	79.6346	1.0365	0.5263
97	22182	6.2258	0.9602	71.1343	3.9041	0.1127	17.6630	86.5124	0.7465	0.3790
98	22211	68.4526	0.8239	11.7014	4.8895	0.0675	14.0651	79.7190	0.9523	0.4835
99	22246	3.3894	58.9364	4.0322	14.9870	0.1214	18.5337	72.4525	1.1923	0.6054
100	22273	0.7633	3.1563	68.5763	16.7467	0.1078	10.6497	76.8426	0.9743	0.4947
101	22315	87.4031	3.7105	0.4212	0.1255	0.0224	8.3173	95.3554	0.3014	0.1530
102	22330	0.1791	7.2324	85.7412	0.1120	0.0806	6.6547	91.9332	0.4266	0.2166
103	22340	0.4834	40.2328	0.0358	54.4047	0.0403	4.8030	57.1738	1.0292	0.5226
104	22366	1.0015	0.4516	96.4366	0.6751	0.0447	1.3905	97.8408	0.1829	0.0929
105	22377	0.1341	0.0670	94.4765	0.0715	0.0760	5.1750	99.7123	0.0328	0.0166
106	22386	0.0625	99.3389	0.0313	0.1429	0.0357	0.3886	99.7622	0.0273	0.0139
107	22428	7.9410	0.0580	91.6087	0.0803	0.0268	0.2854	91.8955	0.4173	0.2119
108	22442	37.5947	17.4494	42.8126	1.6977	0.0356	0.4099	43.0042	1.5946	0.8096
109	22455	99.6126	0.0668	0.0401	0.0445	0.0089	0.2271	99.8482	0.0187	0.0095
110	22455	0.9040	96.6867	0.0490	2.1421	0.0134	0.2049	96.8982	0.2299	0.1167
111	22471	1.4864	0.1068	97.0896	1.2282	0.0223	0.0668	97.1761	0.2190	0.1112
112	22481	0.0801	0.2802	99.4128	0.0445	0.0133	0.1690	99.5945	0.0428	0.0218
113	22484	0.0311	2.8376	96.8466	0.0445	0.0311	0.2090	97.0798	0.1962	0.0996
114	22490	0.3068	0.1556	0.0222	99.2219	0.0178	0.2757	99.5139	0.0499	0.0254
115	22495	0.1600	2.3427	95.1234	2.0760	0.0311	0.2667	95.4075	0.3231	0.1640
116	22497	84.9002	14.9442	0.0756	0.0267	0.0089	0.0445	84.9455	0.6209	0.3152
117	22501	0.1200	0.0933	99.4622	0.0756	0.0311	0.2178	99.7104	0.0331	0.0168
118	22506	0.0178	0.6087	3.8345	95.3968	0.0222	0.1200	95.5326	0.2906	0.1476
119	22508	99.8045	0.0711	0.0178	0.0444	0.0444	0.0178	99.8666	0.0165	0.0084
120	22523	99.0454	0.3286	0.1243	0.0311	0.0044	0.4662	99.5138	0.0499	0.0253
121	22526	0.6082	77.4794	0.4972	21.1445	0.0311	0.2397	77.6897	0.8404	0.4267
122	22533	49.4564	0.3905	49.7981	0.0178	0.0666	0.2707	49.9666	1.0353	0.5257
123	22537	0.4482	3.7139	0.2174	10.3696	0.0266	85.2243	70.3069	1.1012	0.5591
124	22547	6.5020	92.8106	0.2750	0.0577	0.0133	0.3415	93.1411	0.3821	0.1940
125	22552	0.4479	0.0931	0.0887	94.1912	0.0044	5.1747	99.3360	0.0653	0.0331
126	22562	20.4946	7.8539	70.0337	1.4671	0.0266	0.1241	70.1394	1.2058	0.6122
127	22572	13.4149	1.9139	72.5899	11.5276	0.0177	0.5361	72.9942	1.1914	0.6049
128	22578	2.7283	2.5733	85.7738	1.1826	0.0399	7.7022	92.9717	0.4726	0.2399
129	22579	49.1607	24.9701	2.2765	23.5219	0.0399	0.0310	49.1956	1.6189	0.8220
130	22582	92.7819	0.9211	4.4416	1.7093	0.0177	0.1284	92.9176	0.4610	0.2341
131	22590	62.6693	5.1439	0.4560	17.2953	0.0177	14.4179	73.2423	1.0794	0.5480
132	22593	0.0000	95.0162	0.8056	2.0050	0.0354	2.1378	97.1270	0.2128	0.1081
133	22595	0.1239	0.3850	0.0310	99.2255	0.0310	0.2036	99.4588	0.0543	0.0276
134	22598	28.1441	0.3230	69.3513	1.8851	0.1106	0.1859	69.5575	1.0144	0.5151
135	22600	0.0708	98.9115	0.5664	0.4071	0.0000	0.0442	98.9553	0.0970	0.0493
136	22601	0.0796	99.4691	0.1106	0.1504	0.0088	0.1814	99.6587	0.0381	0.0194
137	22601	0.6902	22.8176	0.2920	73.9259	0.0487	2.2256	75.6463	0.8701	0.4418
138	22602	2.9865	13.3307	38.7045	24.2589	0.0664	20.6530	48.8197	1.6385	0.8319
139	22604	62.8738	3.9683	4.1939	7.7685	0.0442	21.1511	79.7844	1.0318	0.5239
140	22609	11.0752	4.0471	0.4423	73.9750	0.0398	10.4206	82.6171	0.8403	0.4267
141	22611	27.0090	24.7932	41.4931	6.1298	0.0398	0.5351	41.7330	1.7844	0.9060
142	22616	2.5867	17.3417	44.9284	23.0987	0.0619	11.9827	51.0808	1.6131	0.8190
143	22619	45.8287	7.5600	0.7029	25.7527	0.0265	20.1291	57.3976	1.3684	0.6948
144	22621	2.3916	20.8833	62.0530	14.5838	0.0354	0.0530	62.1079	1.4329	0.7276
145	22622	4.2127	11.2855	68.8003	15.5999	0.0486	0.0530	68.8703	1.3369	0.6788
146	22625	2.5547	2.0729	93.1182	1.9050	0.0088	0.3403	93.4445	0.4523	0.2296
147	22627	6.0415	0.5569	79.2284	0.1635	0.0221	13.9877	92.1365	0.4423	0.2246
148	22629	8.6791	0.4773	66.1054	0.3138	0.0177	24.4067	87.4693	0.6065	0.3079
149	22633	99.7968	0.0574	0.0221	0.0353	0.0133	0.0751	99.8850	0.0146	0.0074
150	22633	0.5700	13.6880	0.0530	85.4858	0.0177	0.1856	85.6599	0.6327	0.3213
151	22634	99.7614	0.0442	0.0574	0.0972	0.0265	0.0133	99.8011	0.0237	0.0120
152	22635	74.0711	1.2017	24.3693	0.1370	0.0442	0.1767	74.2351	0.9056	0.4598
153	22637	0.0177	98.4936	0.0972	0.1369	0.0177	1.2369	99.7450	0.0289	0.0147
154	22639	0.6096	30.5270	5.2564	40.0459	0.0398	23.5214	52.3895	1.3386	0.6797
155	22640	32.9549	11.7889	3.8163	8.4761	0.0309	42.9329	57.7790	1.5972	0.8109
156	22640	0.5433	75.5875	11.0601	6.3825	0.0221	6.4046	80.7789	0.9203	0.4672
157	22640	9.8896	7.1952	24.2712	51.1793	0.0133	7.4514	55.3079	1.6103	0.8176
158	22641	1.9345	6.8857	89.0464	2.0891	0.0044	0.0398	89.0858	0.6412	0.3256
159	22642	0.2252	0.0795	94.2275	0.0618	0.0044	5.4015	99.6125	0.0418	0.0212
160	22642	99.6246	0.1325	0.1502	0.0618	0.0132	0.0177	99.6554	0.0383	0.0195
161	22643	99.7218	0.0088	0.1237	0.0927	0.0088	0.0442	99.7746	0.0257	0.0131
162	22646	99.5893	0.0309	0.0927	0.1192	0.0177	0.1501	99.7567	0.0281	0.0143
163	22647	0.1457	77.6659	3.3117	8.7296	0.0177	10.1294	86.4367	0.6991	0.3550
164	22652	2.5163	2.5605	76.6290	16.9875	0.0132	1.2935	77.6436	0.9920	0.5037
165	22655	12.5359	2.9177	69.1326	1.7612	0.0441	13.6085	80.0634	0.9407	0.4776
166	22655	5.1026	4.4052	13.8954	45.9413	0.0662	30.5893	66.2508	1.3879	0.7047
167	22656	44.2752	1.4477	15.4131	1.0990	0.0309	37.7339	71.1418	1.0772	0.5469
168	22658	0.2516	0.1236	91.2305	7.1851	0.0177	1.1916	92.3472	0.4151	0.2108
169	22659	12.4586	73.9044	1.6329	1.5005	0.0265	10.4771	82.5780	0.8283	0.4206
170	22660	0.0441	0.2162	0.0309	99.2586	0.0044	0.4457	99.7074	0.0320	0.0162
171	22663	99.4661	0.1324	0.1633	0.1677	0.0529	0.0176	99.5364	0.0499	0.0254
172	22715	99.6478	0.0528	0.0484	0.1453	0.0044	0.1013	99.7532	0.0284	0.0144
173	22719	0.4049	1.6638	1.2589	96.1618	0.0176	0.4930	96.6553	0.2582	0.1311
174	22720	93.3187	1.3556	3.7192	0.8363	0.0308	0.7394	94.0430	0.4036	0.2049
175	22721	0.0836	98.9349	0.5458	0.3741	0.0044	0.0572	98.9959	0.0942	0.0478
176	22722	0.3609	94.2787	0.6161	4.2514	0.0264	0.4665	94.7457	0.3429	0.1741
177	22724	0.8009	5.6900	85.9884	3.9958	0.0352	3.4897	89.1301	0.6365	0.3232
178	22724	5.9453	47.4784	35.7728	8.7573	0.0704	1.9759	48.4703	1.5939	0.8093
179	22726	96.8010	0.0836	1.8745	0.4004	0.0132	0.8272	97.6215	0.1829	0.0928
180	22726	0.0132	0.1100	0.1364	99.4016	0.0132	0.3256	99.7395	0.0293	0.0149
181	22728	86.0480	0.1408	10.8193	0.1760	0.0836	2.7323	88.5413	0.5382	0.2733
182	22733	49.6283	1.2713	5.7669	8.7538	0.0396	34.5401	75.8607	1.1100	0.5636
183	22737	2.3354	61.6748	2.0891	13.4890	0.1627	20.2489	77.4923	1.0063	0.5109
184	22743	14.2769	7.9057	65.7697	4.8498	0.0747	7.1231	70.8708	1.2927	0.6564
185	22745	15.2121	12.0642	0.8573	64.5109	0.0484	7.3071	69.6327	1.2371	0.6281
186	22747	6.1415	76.1419	2.6729	7.0954	0.0747	7.8736	82.7165	0.9203	0.4673
187	22748	5.9566	4.0487	43.0280	17.9840	0.0879	28.8948	60.5881	1.4753	0.7490
188	22749	2.0353	69.9987	4.3430	8.2509	0.1407	15.2314	82.7135	0.9031	0.4585
189	22751	50.8989	5.1954	10.1666	28.5526	0.1494	5.0371	53.6832	1.5782	0.8013
190	22756	39.5061	10.2830	9.7249	24.1694	0.1450	16.1716	47.2089	1.7612	0.8942
191	22756	0.3779	4.3549	77.7246	6.6224	0.0879	10.8323	87.2527	0.6967	0.3538
192	22757	44.2062	3.8406	24.6518	10.2035	0.1362	16.9618	53.3234	1.5813	0.8029
193	22760	2.0387	58.0580	22.4956	15.8216	0.0923	1.4938	58.9937	1.4757	0.7492
194	22763	4.2964	53.7231	16.2369	9.1684	0.0879	16.4873	64.3971	1.4389	0.7306
195	22782	63.4887	2.0016	15.6483	15.1523	0.1010	3.6081	65.9343	1.3582	0.6896
196	22784	45.4529	15.5021	7.1805	25.9656	0.0527	5.8462	48.3022	1.7315	0.8792
197	22788	60.0843	10.0184	9.5006	5.7750	0.1229	14.4989	70.3742	1.3348	0.6777
198	22790	0.8513	2.9136	77.9070	12.9092	0.1009	5.3181	82.3707	0.8384	0.4257
199	22796	50.8686	10.0281	2.5750	16.7178	0.1184	19.6921	63.4354	1.4225	0.7223
200	22798	5.6189	4.5969	66.0760	23.1380	0.1272	0.4430	66.4549	1.3206	0.6705
201	22802	7.0608	5.7583	68.0467	18.2177	0.0789	0.8376	68.6761	1.3317	0.6761
202	22804	9.4545	3.8239	63.8704	21.3778	0.1096	1.3638	64.8255	1.3901	0.7058
203	22806	10.3306	4.0866	64.8733	11.9618	0.0789	8.6688	71.0922	1.2907	0.6553
204	22806	12.3696	3.2623	55.5249	6.6956	0.0877	22.0600	71.3208	1.2656	0.6426
205	22807	74.4157	0.8594	1.0874	10.8037	0.0921	12.7417	85.3722	0.7127	0.3619
206	22809	20.7593	32.3337	13.9506	19.4660	0.0833	13.4070	37.3758	1.9335	0.9817
207	22811	14.5938	37.3811	18.0571	5.7648	0.0614	24.1419	49.3175	1.7363	0.8816
208	22812	7.5267	0.2937	11.6386	77.1787	0.0263	3.3360	79.8639	0.9391	0.4768
209	22814	9.2093	3.4759	4.1159	62.5405	0.1008	20.5576	78.8244	1.0504	0.5333
210	22816	18.2723	49.4390	3.2959	12.4912	0.1008	16.4008	59.2095	1.5215	0.7725
211	22819	25.0800	1.9063	66.3920	5.7321	0.0701	0.8195	66.9880	1.2363	0.6277
212	22821	18.5224	1.4767	61.8947	4.3162	0.0570	13.7330	71.7953	1.1367	0.5771
213	22823	15.3880	0.5389	52.0966	5.7048	0.0613	26.2104	70.6602	1.1633	0.5907
214	22824	18.3053	57.3475	2.4404	10.9271	0.0789	10.9008	64.4207	1.3916	0.7066
215	22825	15.9168	37.6780	7.4567	12.6572	0.0701	26.2212	51.1175	1.7432	0.8851
216	22826	7.3425	0.2278	7.9602	79.3218	0.0307	5.1170	83.6266	0.8224	0.4176
217	22829	8.2789	49.4809	5.9530	10.4297	0.1051	25.7523	66.7376	1.4327	0.7274
218	22832	9.8502	8.1684	13.5380	60.4327	0.0745	7.9362	65.6954	1.4604	0.7415
219	22834	5.2378	15.1090	9.5515	41.3024	0.0438	28.7554	58.0084	1.5961	0.8104
220	22834	5.5882	0.5299	80.4327	6.2889	0.0307	7.1297	86.6362	0.7290	0.3701
221	22835	7.8213	62.5925	11.3291	7.8082	0.0613	10.3876	69.8958	1.3526	0.6868
222	22837	3.8709	35.2279	20.0552	18.7021	0.0613	22.0826	45.2475	1.7313	0.8790
223	22838	68.1583	1.3749	16.4725	5.6791	0.0525	8.2625	74.3397	1.1024	0.5597
224	22838	9.0901	0.7794	5.4777	70.2645	0.0613	14.3270	82.0734	0.8929	0.4534
225	22838	17.0987	31.1411	12.8996	12.7332	0.0701	26.0574	42.1552	1.8908	0.9600
226	22843	14.0875	0.4334	84.0039	1.3046	0.0438	0.1270	84.1475	0.7240	0.3676
227	22843	1.0682	0.8843	87.6943	0.2889	0.0482	10.0162	97.5078	0.2036	0.1034
228	22844	93.2893	1.1206	1.6678	1.2563	0.0131	2.6528	95.8444	0.3144	0.1596
229	22844	2.1362	2.8104	2.7316	82.0609	0.0131	10.2478	91.4439	0.5562	0.2824
230	22844	2.8629	1.4402	90.4526	0.2758	0.0263	4.9422	95.1817	0.3361	0.1706
231	22844	29.0492	7.7745	27.4251	17.2649	0.0306	18.4556	35.6372	1.8568	0.9428
232	22847	3.1251	0.1050	93.0713	0.4027	0.0219	3.2740	96.2433	0.2568	0.1304
233	22847	8.6663	74.2811	12.0847	4.1012	0.0394	0.8272	74.9305	1.1796	0.5989
234	22848	2.4379	73.1005	4.0923	14.5527	0.0438	5.7729	77.6151	1.0331	0.5245
235	22848	0.1225	68.7631	3.7421	18.0103	0.0175	9.3444	75.8656	0.9683	0.4916
236	22848	26.1555	0.2276	12.9771	3.2913	0.0788	57.2698	61.3238	1.2804	0.6501
237	22848	0.1182	0.7353	90.4674	3.1425	0.0219	5.5147	95.7698	0.2896	0.1471
238	22849	20.9900	56.6152	4.3328	10.4994	0.0394	7.5233	61.2471	1.4822	0.7526
239	22851	0.4639	1.4398	0.1357	61.9885	0.0044	35.9678	96.8150	0.2386	0.1212
240	22851	6.9625	24.8085	65.2488	1.7461	0.0088	1.2253	66.0641	1.2684	0.6440
241	22852	4.6954	14.4189	67.5039	10.1129	0.0131	3.2557	69.7851	1.3240	0.6722
242	22853	0.2625	28.4164	51.9188	4.3845	0.0175	15.0002	61.0937	1.2092	0.6140
243	22854	77.8595	21.5017	0.1444	0.1444	0.0088	0.3413	78.1330	0.7829	0.3975
244	22854	0.2319	0.3150	0.1050	99.3174	0.0088	0.0219	99.3478	0.0663	0.0336
245	22854	0.0831	4.3669	0.0656	95.1693	0.0306	0.2844	95.4701	0.2770	0.1407
246	22854	99.4924	0.0700	0.1050	0.0000	0.0088	0.3238	99.8244	0.0203	0.0103
247	22854	0.2144	0.0875	99.5406	0.0788	0.0306	0.0481	99.6190	0.0415	0.0211
248	22854	3.0892	80.9924	10.5014	5.1632	0.0219	0.2319	81.1985	0.9623	0.4886
249	22854	0.0219	0.5119	0.0394	99.1993	0.0000	0.2275	99.4255	0.0544	0.0276
250	22854	70.1671	0.3894	2.4110	26.5774	0.1706	0.2844	70.4879	1.0256	0.5207
251	22855	0.0394	0.0481	99.5756	0.0700	0.0175	0.2494	99.8421	0.0194	0.0099
252	22856	0.0306	0.0569	0.0569	94.4391	0.0044	5.4121	99.8473	0.0188	0.0096
253	22856	10.2293	0.2319	0.0569	89.0401	0.0175	0.4244	89.4353	0.5079	0.2579
254	22856	0.4900	0.0263	99.4181	0.0613	0.0044	0.0000	99.4224	0.0556	0.0282
255	22856	0.1050	0.2494	99.2737	0.2581	0.0000	0.1138	99.3868	0.0630	0.0320
256	22856	1.2294	8.2035	0.1838	90.1908	0.0394	0.1531	90.3647	0.5232	0.2657
257	22856	13.4450	0.2756	85.9249	0.2931	0.0613	0.0000	85.9776	0.6249	0.3173
258	22856	38.1825	0.4463	58.6804	2.6120	0.0613	0.0175	58.7267	1.1536	0.5857
259	22856	0.2844	0.3019	98.6437	0.7219	0.0131	0.0350	98.6912	0.1195	0.0607
260	22856	1.1507	0.2231	98.4774	0.0438	0.0088	0.0963	98.5809	0.1191	0.0605
261	22857	0.2888	0.4288	0.0000	99.1819	0.0263	0.0744	99.2818	0.0685	0.0348
262	22857	93.5031	0.0919	6.1907	0.1794	0.0350	0.0000	93.5358	0.3644	0.1850
263	22857	96.9244	0.0350	2.9138	0.0219	0.0131	0.0919	97.0262	0.1977	0.1004
264	22859	21.2695	36.3795	1.3430	39.1137	0.1531	1.7411	39.8689	1.6226	0.8238
265	22859	3.5522	0.0175	95.7216	0.5075	0.0394	0.1619	95.9146	0.2699	0.1371
266	22859	0.2625	0.1181	99.0944	0.1444	0.0219	0.3587	99.4730	0.0553	0.0281
267	22859	0.0306	99.6675	0.0394	0.1269	0.0087	0.1269	99.8029	0.0231	0.0117
268	22859	1.0980	15.6437	0.9712	46.0956	0.0306	36.1608	72.2405	1.0289	0.5224
269	22859	0.0437	88.3066	0.1969	8.8193	0.0525	2.5810	90.6951	0.4647	0.2360
270	22861	98.7140	0.4418	0.2887	0.1444	0.0131	0.3981	99.1215	0.0854	0.0434
271	22861	0.1925	99.6413	0.0525	0.0744	0.0000	0.0394	99.6806	0.0354	0.0180
272	22862	0.0481	99.3045	0.0350	0.1356	0.1356	0.3412	99.7802	0.0255	0.0129
273	22862	89.3185	0.0350	0.2537	6.6223	0.0481	3.7223	92.8182	0.3923	0.1992
274	22862	97.5899	0.1225	0.0919	0.0875	0.0000	2.1083	99.6917	0.0350	0.0178
275	22863	0.7348	0.0569	98.9503	0.2449	0.0044	0.0087	98.9633	0.0943	0.0479
276	22863	4.1902	10.9216	81.5772	3.1229	0.0525	0.1356	81.7309	0.9356	0.4750
277	22863	0.2537	99.3964	0.0131	0.2099	0.0044	0.1225	99.5226	0.0492	0.0250
